constitution,recommended_beverages,avoid_beverages,recommended_ingredients,avoid_ingredients,source_url
平和体质,霸王茶姬伯牙绝弦|喜茶多肉葡萄|奈雪轻柠茶|茶百道轻轻玫茉|乌龙茶系|各类适量,浓茶|高糖奶茶过量,绿茶（春）|白茶/绿茶（夏）|乌龙茶（秋）|红茶（冬）|花茶,浓茶过量,http://health.people.com.cn/n1/2021/0315/c14739-32051473.html
阳虚体质（寒性体质）,霸王茶姬红茶系热饮|茶百道红糖奶茶热饮|蜜雪冰城红糖姜茶|Tims热燕麦拿铁|普洱熟茶奶茶,任何冰饮|绿茶|黄茶|苦丁茶|奈雪冰品|星冰乐,红茶|黑茶|重发酵乌龙（岩茶）|生姜|红糖|桂圆|红枣|肉桂|普洱熟茶,绿茶|苦丁茶|薄荷|寒性草药,http://health.people.com.cn/n1/2021/0315/c14739-32051473.html
气虚体质,霸王茶姬万里木兰热饮|茶百道红糖奶茶|沪上阿姨红枣枸杞奶茶|Tims热拿铁|普洱熟茶|乌龙茶,绿茶|黄茶|冰饮|蜜雪冰城冰品|奈雪冰饮,普洱熟茶|焙火乌龙（岩茶/单枞）|红茶|黄豆|玉米|豌豆|黄芪,未发酵茶（绿茶/白茶）|生冷饮品,http://health.people.com.cn/n1/2021/0315/c14739-32051473.html
阴虚体质,喜茶纯绿妍茶后|奈雪轻柠茶|乐乐茶玫瑰乌龙|绿茶系饮品|白茶|轻发酵乌龙,红茶奶茶|重发酵乌龙|黑茶|蜜雪冰城珍珠奶茶（标准糖）|霸王茶姬标准糖版,绿茶|黄茶|白茶|苦丁茶|轻发酵乌龙|枸杞|山药|石斛|麦冬,红茶|黑茶|重发酵乌龙|燥热性香料,http://health.people.com.cn/n1/2021/0315/c14739-32051473.html
湿热体质,喜茶纯茶系|奈雪轻柠茶|书亦烧仙草热饮（少糖）|绿茶|白茶|苦丁茶,红茶奶茶（重）|黑茶|重发酵乌龙|高糖奶茶|肥腻饮品|霸王茶姬标准糖版,绿茶|黄茶|白茶|苦丁茶|荷叶茶|薏仁|金银花|茵陈,红茶|黑茶|重发酵乌龙|高糖|辛辣,https://jiankang.163.com/21/0316/14/G57GAGAI00388045.html
痰湿体质,茶百道轻茶系|霸王茶姬无糖纯茶|乌龙茶（陈年）|普洱（淡）,高糖奶茶全系|珍珠系|芋泥系|高热量冰品|乐乐茶芋泥啵啵,老乌龙|老黑茶|橘普茶|生姜|陈皮|薏仁,过甜|高脂|高淀粉|肥腻,https://zhuanlan.zhihu.com/p/588519727
气郁体质,乐乐茶玫瑰乌龙|茶百道轻轻玫茉|古茗红豆抹茶|花茶系|玫瑰茶|菊花茶|陈皮茶,咖啡（高咖啡因）|浓茶|瑞幸生椰拿铁（高咖啡因）|星巴克美式,玫瑰花|菊花|山楂|佛手|陈皮|茉莉|薰衣草|乌龙茶（酸香型）,含咖啡因多的茶|浓茶,https://jiankang.163.com/21/0316/14/G57GAGAI00388045.html
血瘀体质（偏寒）,茶百道红糖奶茶热饮|蜜雪冰城红糖姜茶|霸王茶姬红茶系|一点点红豆牛奶,冰饮全系|绿茶（偏寒版）|高糖加工品,红茶|山楂茶|柠檬茶|红糖|玫瑰花|益母草,寒凉性饮品|冰饮,https://jiankang.163.com/21/0316/14/G57GAGAI00388045.html
血瘀体质（偏热）,喜茶纯绿茶|奈雪轻柠茶|乐乐茶玫瑰乌龙|绿茶系,红茶（过热）|高糖奶茶|重发酵茶,绿茶|茉莉花茶|山楂茶|柠檬茶|益母草,燥热性香料|高糖,https://jiankang.163.com/21/0316/14/G57GAGAI00388045.html
特禀体质（过敏体质）,霸王茶姬无糖纯茶系|喜茶纯绿妍茶（成分简单）|蜜雪冰城纯茶,浓茶|含花粉类茶饮|含多添加剂奶茶|香料复杂饮品,成分简单的纯茶|牛奶（确认不过敏）,浓茶|花粉类|过敏原,https://jiankang.163.com/21/0316/14/G57GAGAI00388045.html
